ts,700FIC028_Y,700II781C_Y,700II782C_Y,700II783C_Y,700LI770B_Y,CUEI501_Y,CUFI008_Y,CUII503_Y,CULC501_Y,CULC508_Y,SOFC002_Y,SOFC007_Y,SORF001_Y,SWFC004_Y,SWRF001_Y,CUEI502_Y,CUEI503_Y,SWFC001_Y
2016-07-14 19:47,32.02208,10.66116,10.782,11.19118,56.74938,17.66326,5.91321,98.51041,34.07114,50.04205,27.61934,3.182421,115.4379,0.7604003,80.78719,17.21746,17.50067,9.426691
2016-07-14 19:48,32.18578,16.01976,15.93084,16.99751,56.74888,18.9335,5.948541,105.7302,34.10624,50.04165,27.50147,3.177359,114.8363,0.7474546,79.52931,18.51021,19.01061,9.250949
2016-07-14 19:49,32.07615,14.30367,12.50362,15.21832,56.74888,17.60754,5.94376,97.13246,34.07992,50.2057,27.70092,3.171795,114.7598,0.7320212,81.53355,17.14546,17.16112,9.106832
2016-07-14 19:50,32.30135,9.999802,9.975217,10.00449,56.74515,18.83732,5.924215,106.6851,34.11213,50.06789,27.74359,3.170264,115.2206,0.7235718,78.65865,18.4407,18.97444,9.070984
2016-07-14 19:51,32.00892,11.38372,11.65832,11.84815,56.7421,17.86451,5.948892,96.39958,34.02619,50.09452,27.78906,3.17082,114.4445,0.7264371,79.04103,17.43115,17.4196,9.175365
2016-07-14 19:52,32.06179,15.66615,15.64237,15.88942,56.73131,18.773,5.955178,106.7912,34.07023,50.04947,27.80309,3.176064,114.1831,0.7440181,79.78584,18.34501,18.81526,9.392251
2016-07-14 19:53,32.18357,11.69566,11.61928,12.2596,56.74678,18.07961,5.947925,99.24025,34.06429,50.09135,27.8201,3.176824,114.9644,0.7560537,80.28832,17.68438,17.61449,9.422368
2016-07-14 19:54,32.13308,10.00054,9.968219,10.87458,56.75231,18.10897,5.954317,102.5837,34.01921,50.17371,27.57766,3.178341,114.2332,0.7612875,78.98053,17.67466,17.93812,9.591289
2016-07-14 19:55,32.19386,12.44667,12.84066,12.70544,56.74579,18.77561,5.950566,103.1839,33.89928,50.16145,27.84588,3.191982,114.5084,0.769886,80.28305,18.32096,18.56371,9.537601
2016-07-14 19:56,32.09898,14.82722,14.7694,15.69615,56.75263,17.76957,5.938268,99.12173,33.94502,50.02625,27.80265,3.186321,114.9897,0.7632526,79.64859,17.28422,17.53448,9.552372
2016-07-14 19:57,32.12416,11.78981,11.69816,11.74688,56.75171,19.13058,5.932395,106.64,33.85535,50.02668,28.10049,3.19338,114.3946,0.7567129,79.34613,18.68831,19.13918,9.518174
2016-07-14 19:58,32.2533,9.998028,9.971475,10.0101,56.74334,17.65465,5.950182,97.5273,33.8974,50.25617,27.99342,3.191241,114.1493,0.7740102,79.47946,17.28737,17.1517,9.643187
2016-07-14 19:59,32.21121,12.97499,13.32223,10.91687,56.74694,18.98617,5.96104,107.323,33.91585,50.12954,27.80322,3.1899,114.7891,0.759526,80.32062,18.57846,19.1624,9.562278
2016-07-14 20:00,32.17371,14.78042,14.73045,15.72293,56.75051,17.96465,5.969047,96.83775,33.90874,50.18497,27.75772,3.18119,114.2807,0.7469689,79.79523,17.54347,17.37004,9.293154
2016-07-14 20:01,32.21371,11.06248,10.87737,11.13163,56.73615,19.09205,5.965155,108.3438,33.95452,50.14904,27.56875,3.17306,114.3536,0.7452729,79.40651,18.64193,18.85129,9.325048
2016-07-14 20:02,32.27955,9.999141,9.973405,10.27117,56.73224,18.58322,5.970709,100.6703,33.99488,50.17191,27.52212,3.181593,115.2556,0.7374472,80.31822,18.16249,17.88346,9.307368
2016-07-14 20:03,32.21985,12.60162,13.44692,13.53692,56.74463,18.12762,5.975497,105.0582,33.9214,50.25369,27.35164,3.168778,114.8091,0.7467515,80.27071,17.73693,18.26458,9.420755
2016-07-14 20:04,32.17268,14.7577,15.49888,15.76849,56.74343,18.77382,5.97015,102.1054,33.92381,50.21419,27.49976,3.191392,114.7925,0.7517417,80.03091,18.32494,18.51815,9.317767
2016-07-14 20:05,32.10628,10.85533,10.79488,10.8436,56.74453,17.62428,5.956517,99.741,33.89571,50.17215,27.20629,3.175794,115.2349,0.7402015,78.74919,17.21347,17.31269,9.229585
2016-07-14 20:06,32.28545,10.00612,9.980242,10.00267,56.74786,18.9713,5.968986,105.6523,33.82875,50.15775,27.72701,3.180921,115.773,0.7248996,79.32583,18.56372,19.07128,9.26496
2016-07-14 20:07,32.19358,13.68352,14.53035,15.19006,56.73388,17.80693,5.973413,96.65319,33.94353,50.2545,27.69512,3.173176,116.916,0.7445871,80.04972,17.25011,17.25112,9.387116
2016-07-14 20:08,32.04354,15.3793,15.38891,16.33543,56.73586,18.97996,5.988476,106.9809,33.90263,50.29112,27.45917,3.17899,116.0041,0.7532069,78.32411,18.57221,19.06189,9.573151
2016-07-14 20:09,32.07118,10.06481,10.11627,10.88628,56.72999,17.7811,5.996386,97.8896,33.89834,50.11752,27.55046,3.17239,115.4851,0.7666702,79.66979,17.4914,17.30378,9.674867
2016-07-14 20:10,32.16251,10.00233,10.11284,10.56561,56.73519,18.75207,5.978356,105.0386,33.84531,50.0304,27.37913,3.166827,115.6169,0.7775601,81.12552,18.35126,18.70984,9.60445
2016-07-14 20:11,31.96973,15.11319,15.86245,16.12694,56.731,18.04904,5.995836,98.84871,33.96182,50.33714,27.32815,3.174891,115.69,0.7607149,79.92979,17.65446,17.55566,9.546804
2016-07-14 20:12,32.21777,14.18565,14.11026,15.11706,56.74341,18.14078,6.008028,102.4741,33.89721,50.16005,27.23457,3.167986,116.0433,0.7642593,80.15417,17.68884,17.92785,9.513451
2016-07-14 20:13,32.0467,12.64507,12.61956,13.462,56.73804,18.586,6.006071,102.7694,33.95855,50.30322,27.23033,3.162462,115.9612,0.7636459,80.04187,18.22308,18.43755,9.557062
2016-07-14 20:14,31.92809,10.18871,10.24993,10.28297,56.73608,17.67897,5.998794,98.34,33.83765,50.31218,27.19623,3.146786,115.5829,0.777056,80.61081,17.326,17.47665,9.522651
2016-07-14 20:15,31.99833,15.58693,15.92659,16.51096,56.72594,18.92407,6.015371,105.119,33.9467,50.23821,27.2279,3.143745,115.1011,0.7665427,81.41142,18.53162,18.97156,9.347551
2016-07-14 20:16,32.11238,13.74605,13.63388,16.27274,56.73545,17.60048,6.011381,95.94958,33.9289,50.16447,27.60723,3.160352,114.4432,0.7376496,80.63487,17.19459,17.15605,9.327117
2016-07-14 20:17,32.08266,10.00332,9.984098,10.01657,56.73831,18.89153,5.99275,106.5906,33.87347,50.21209,27.75582,3.16118,113.9214,0.745463,79.9073,18.49863,19.02764,9.339121
2016-07-14 20:18,31.95154,10.3245,10.41671,10.47723,56.72758,17.87001,5.99915,96.6185,33.94404,50.24957,27.87563,3.180973,113.3373,0.749883,81.46298,17.43918,17.29508,9.32766
2016-07-14 20:19,31.98756,15.89277,16.7645,16.84076,56.7287,18.86717,6.011753,105.9179,33.8981,50.31844,27.98553,3.173912,113.6936,0.7437091,80.44906,18.41919,18.62527,9.307522
2016-07-14 20:20,32.14067,12.7905,13.27279,14.14985,56.73083,18.35291,6.006309,99.34581,33.9284,50.35121,27.88094,3.185296,113.9493,0.7217437,80.11254,17.95532,17.68496,9.284638
2016-07-14 20:21,31.96848,10.00996,9.959304,12.56065,56.74117,18.15225,6.005345,102.5079,33.80875,50.29012,27.89863,3.188573,113.2828,0.7459507,80.07475,17.70658,18.20704,9.328898
2016-07-14 20:22,32.0701,11.68027,10.55265,10.60789,56.73761,18.82261,6.018357,103.4767,33.94662,50.35364,27.86133,3.194312,114.0418,0.7527105,80.76793,18.38682,18.59279,9.410949
2016-07-14 20:23,32.14323,15.90104,16.61627,16.82885,56.73383,17.80584,6.031082,98.87043,33.8664,50.30186,27.87143,3.189053,114.5936,0.7477155,81.51535,17.37249,17.47343,9.43493
2016-07-14 20:24,31.99093,12.70423,12.59951,13.33427,56.73754,19.14804,6.034192,106.0274,33.89897,50.2312,28.18249,3.192999,114.2558,0.7377977,79.46389,18.71909,19.17111,9.418161
2016-07-14 20:25,32.18821,10.21152,9.97575,10.16825,56.75021,17.8824,6.011629,98.24256,33.81585,50.52605,27.95961,3.203026,114.1747,0.749234,79.93634,17.38512,17.37474,9.393366
2016-07-14 20:26,32.01903,12.86264,10.81099,10.86402,56.73826,19.0698,6.012794,107.2313,33.95917,50.1865,28.13044,3.202025,114.969,0.741203,81.72968,18.61764,19.14856,9.155739
2016-07-14 20:27,32.12078,15.97665,16.88702,16.99387,56.73008,18.01093,6.024529,96.90839,33.95066,50.31213,27.90049,3.199428,115.3615,0.7187846,79.3984,17.57986,17.34234,8.898135
